OMRÅDE;ALDER;CIVILSTAND;TID;INDHOLD
Hele landet;I alt;Ugift;2008K4;2568255
Hele landet;I alt;Ugift;2009K4;2588198
Hele landet;I alt;Ugift;2010K4;2610799
Hele landet;I alt;Ugift;2011K4;2634540
Hele landet;I alt;Ugift;2012K4;2657677
Hele landet;I alt;Ugift;2013K4;2681019
Hele landet;I alt;Ugift;2014K4;2709113
Hele landet;I alt;Ugift;2015K4;2744254
Hele landet;I alt;Ugift;2016K4;2780475
Hele landet;I alt;Ugift;2017K4;2806141
Hele landet;I alt;Ugift;2018K4;2827695
Hele landet;I alt;Ugift;2019K4;2845453
Hele landet;I alt;Ugift;2020K4;2859116
Hele landet;I alt;Ugift;2021K4;2886458
Hele landet;I alt;Gift/separeret;2008K4;2191033
Hele landet;I alt;Gift/separeret;2009K4;2193779
Hele landet;I alt;Gift/separeret;2010K4;2191517
Hele landet;I alt;Gift/separeret;2011K4;2183712
Hele landet;I alt;Gift/separeret;2012K4;2173196
Hele landet;I alt;Gift/separeret;2013K4;2165925
Hele landet;I alt;Gift/separeret;2014K4;2148451
Hele landet;I alt;Gift/separeret;2015K4;2146756
Hele landet;I alt;Gift/separeret;2016K4;2145540
Hele landet;I alt;Gift/separeret;2017K4;2145883
Hele landet;I alt;Gift/separeret;2018K4;2146813
Hele landet;I alt;Gift/separeret;2019K4;2149938
Hele landet;I alt;Gift/separeret;2020K4;2138124
Hele landet;I alt;Gift/separeret;2021K4;2135786
Hele landet;I alt;Fraskilt;2008K4;432156
Hele landet;I alt;Fraskilt;2009K4;439428
Hele landet;I alt;Fraskilt;2010K4;447258
Hele landet;I alt;Fraskilt;2011K4;455846
Hele landet;I alt;Fraskilt;2012K4;466356
Hele landet;I alt;Fraskilt;2013K4;477056
Hele landet;I alt;Fraskilt;2014K4;500795
Hele landet;I alt;Fraskilt;2015K4;513060
Hele landet;I alt;Fraskilt;2016K4;526340
Hele landet;I alt;Fraskilt;2017K4;535372
Hele landet;I alt;Fraskilt;2018K4;542280
Hele landet;I alt;Fraskilt;2019K4;543846
Hele landet;I alt;Fraskilt;2020K4;552419
Hele landet;I alt;Fraskilt;2021K4;558266
København;I alt;Ugift;2008K4;315545
København;I alt;Ugift;2009K4;324313
København;I alt;Ugift;2010K4;333929
København;I alt;Ugift;2011K4;343028
København;I alt;Ugift;2012K4;352000
København;I alt;Ugift;2013K4;361813
København;I alt;Ugift;2014K4;370940
København;I alt;Ugift;2015K4;379545
København;I alt;Ugift;2016K4;388897
København;I alt;Ugift;2017K4;396546
København;I alt;Ugift;2018K4;404978
København;I alt;Ugift;2019K4;413168
København;I alt;Ugift;2020K4;417782
København;I alt;Ugift;2021K4;423793
København;I alt;Gift/separeret;2008K4;130727
København;I alt;Gift/separeret;2009K4;133014
København;I alt;Gift/separeret;2010K4;135341
København;I alt;Gift/separeret;2011K4;136965
København;I alt;Gift/separeret;2012K4;137880
København;I alt;Gift/separeret;2013K4;139664
København;I alt;Gift/separeret;2014K4;139729
København;I alt;Gift/separeret;2015K4;141141
København;I alt;Gift/separeret;2016K4;143024
København;I alt;Gift/separeret;2017K4;145607
København;I alt;Gift/separeret;2018K4;148172
København;I alt;Gift/separeret;2019K4;150492
København;I alt;Gift/separeret;2020K4;150663
København;I alt;Gift/separeret;2021K4;150219
København;I alt;Fraskilt;2008K4;49836
København;I alt;Fraskilt;2009K4;49633
København;I alt;Fraskilt;2010K4;49662
København;I alt;Fraskilt;2011K4;50062
København;I alt;Fraskilt;2012K4;50270
København;I alt;Fraskilt;2013K4;50511
København;I alt;Fraskilt;2014K4;52260
København;I alt;Fraskilt;2015K4;52919
København;I alt;Fraskilt;2016K4;53807
København;I alt;Fraskilt;2017K4;54336
København;I alt;Fraskilt;2018K4;54623
København;I alt;Fraskilt;2019K4;54682
København;I alt;Fraskilt;2020K4;55063
København;I alt;Fraskilt;2021K4;55305
Odense;I alt;Ugift;2008K4;94613
Odense;I alt;Ugift;2009K4;95326
Odense;I alt;Ugift;2010K4;96888
Odense;I alt;Ugift;2011K4;98591
Odense;I alt;Ugift;2012K4;100565
Odense;I alt;Ugift;2013K4;102905
Odense;I alt;Ugift;2014K4;104764
Odense;I alt;Ugift;2015K4;106197
Odense;I alt;Ugift;2016K4;108202
Odense;I alt;Ugift;2017K4;109594
Odense;I alt;Ugift;2018K4;111520
Odense;I alt;Ugift;2019K4;112746
Odense;I alt;Ugift;2020K4;113639
Odense;I alt;Ugift;2021K4;114013
Odense;I alt;Gift/separeret;2008K4;67609
Odense;I alt;Gift/separeret;2009K4;67662
Odense;I alt;Gift/separeret;2010K4;67492
Odense;I alt;Gift/separeret;2011K4;67127
Odense;I alt;Gift/separeret;2012K4;66830
Odense;I alt;Gift/separeret;2013K4;66765
Odense;I alt;Gift/separeret;2014K4;66195
Odense;I alt;Gift/separeret;2015K4;66003
Odense;I alt;Gift/separeret;2016K4;65870
Odense;I alt;Gift/separeret;2017K4;65712
Odense;I alt;Gift/separeret;2018K4;65559
Odense;I alt;Gift/separeret;2019K4;65537
Odense;I alt;Gift/separeret;2020K4;65049
Odense;I alt;Gift/separeret;2021K4;64661
Odense;I alt;Fraskilt;2008K4;15185
Odense;I alt;Fraskilt;2009K4;15468
Odense;I alt;Fraskilt;2010K4;15675
Odense;I alt;Fraskilt;2011K4;15733
Odense;I alt;Fraskilt;2012K4;16005
Odense;I alt;Fraskilt;2013K4;16296
Odense;I alt;Fraskilt;2014K4;17031
Odense;I alt;Fraskilt;2015K4;17310
Odense;I alt;Fraskilt;2016K4;17562
Odense;I alt;Fraskilt;2017K4;17765
Odense;I alt;Fraskilt;2018K4;17890
Odense;I alt;Fraskilt;2019K4;17925
Odense;I alt;Fraskilt;2020K4;18139
Odense;I alt;Fraskilt;2021K4;18243
Aalborg;I alt;Ugift;2008K4;97764
Aalborg;I alt;Ugift;2009K4;98430
Aalborg;I alt;Ugift;2010K4;99932
Aalborg;I alt;Ugift;2011K4;102610
Aalborg;I alt;Ugift;2012K4;104791
Aalborg;I alt;Ugift;2013K4;107216
Aalborg;I alt;Ugift;2014K4;109205
Aalborg;I alt;Ugift;2015K4;111447
Aalborg;I alt;Ugift;2016K4;113344
Aalborg;I alt;Ugift;2017K4;114627
Aalborg;I alt;Ugift;2018K4;116197
Aalborg;I alt;Ugift;2019K4;118147
Aalborg;I alt;Ugift;2020K4;120226
Aalborg;I alt;Ugift;2021K4;121879
Aalborg;I alt;Gift/separeret;2008K4;72976
Aalborg;I alt;Gift/separeret;2009K4;73153
Aalborg;I alt;Gift/separeret;2010K4;72817
Aalborg;I alt;Gift/separeret;2011K4;72543
Aalborg;I alt;Gift/separeret;2012K4;72319
Aalborg;I alt;Gift/separeret;2013K4;72118
Aalborg;I alt;Gift/separeret;2014K4;71570
Aalborg;I alt;Gift/separeret;2015K4;71546
Aalborg;I alt;Gift/separeret;2016K4;71509
Aalborg;I alt;Gift/separeret;2017K4;71450
Aalborg;I alt;Gift/separeret;2018K4;71398
Aalborg;I alt;Gift/separeret;2019K4;71506
Aalborg;I alt;Gift/separeret;2020K4;71310
Aalborg;I alt;Gift/separeret;2021K4;71260
Aalborg;I alt;Fraskilt;2008K4;14251
Aalborg;I alt;Fraskilt;2009K4;14580
Aalborg;I alt;Fraskilt;2010K4;14928
Aalborg;I alt;Fraskilt;2011K4;15143
Aalborg;I alt;Fraskilt;2012K4;15525
Aalborg;I alt;Fraskilt;2013K4;15873
Aalborg;I alt;Fraskilt;2014K4;16596
Aalborg;I alt;Fraskilt;2015K4;16802
Aalborg;I alt;Fraskilt;2016K4;17175
Aalborg;I alt;Fraskilt;2017K4;17413
Aalborg;I alt;Fraskilt;2018K4;17662
Aalborg;I alt;Fraskilt;2019K4;17666
Aalborg;I alt;Fraskilt;2020K4;17971
Aalborg;I alt;Fraskilt;2021K4;18208
Esbjerg;I alt;Ugift;2008K4;53418
Esbjerg;I alt;Ugift;2009K4;53590
Esbjerg;I alt;Ugift;2010K4;53834
Esbjerg;I alt;Ugift;2011K4;53959
Esbjerg;I alt;Ugift;2012K4;54083
Esbjerg;I alt;Ugift;2013K4;54093
Esbjerg;I alt;Ugift;2014K4;54417
Esbjerg;I alt;Ugift;2015K4;54692
Esbjerg;I alt;Ugift;2016K4;55007
Esbjerg;I alt;Ugift;2017K4;55025
Esbjerg;I alt;Ugift;2018K4;54995
Esbjerg;I alt;Ugift;2019K4;55041
Esbjerg;I alt;Ugift;2020K4;55161
Esbjerg;I alt;Ugift;2021K4;55338
Esbjerg;I alt;Gift/separeret;2008K4;46048
Esbjerg;I alt;Gift/separeret;2009K4;46159
Esbjerg;I alt;Gift/separeret;2010K4;46143
Esbjerg;I alt;Gift/separeret;2011K4;45771
Esbjerg;I alt;Gift/separeret;2012K4;45434
Esbjerg;I alt;Gift/separeret;2013K4;45218
Esbjerg;I alt;Gift/separeret;2014K4;44887
Esbjerg;I alt;Gift/separeret;2015K4;44590
Esbjerg;I alt;Gift/separeret;2016K4;44371
Esbjerg;I alt;Gift/separeret;2017K4;44224
Esbjerg;I alt;Gift/separeret;2018K4;44056
Esbjerg;I alt;Gift/separeret;2019K4;43737
Esbjerg;I alt;Gift/separeret;2020K4;43362
Esbjerg;I alt;Gift/separeret;2021K4;43103
Esbjerg;I alt;Fraskilt;2008K4;8743
Esbjerg;I alt;Fraskilt;2009K4;8848
Esbjerg;I alt;Fraskilt;2010K4;9042
Esbjerg;I alt;Fraskilt;2011K4;9256
Esbjerg;I alt;Fraskilt;2012K4;9440
Esbjerg;I alt;Fraskilt;2013K4;9659
Esbjerg;I alt;Fraskilt;2014K4;10042
Esbjerg;I alt;Fraskilt;2015K4;10352
Esbjerg;I alt;Fraskilt;2016K4;10586
Esbjerg;I alt;Fraskilt;2017K4;10770
Esbjerg;I alt;Fraskilt;2018K4;10906
Esbjerg;I alt;Fraskilt;2019K4;10880
Esbjerg;I alt;Fraskilt;2020K4;11074
Esbjerg;I alt;Fraskilt;2021K4;11130
Aarhus;I alt;Ugift;2008K4;167157
Aarhus;I alt;Ugift;2009K4;171182
Aarhus;I alt;Ugift;2010K4;174263
Aarhus;I alt;Ugift;2011K4;177817
Aarhus;I alt;Ugift;2012K4;182021
Aarhus;I alt;Ugift;2013K4;186302
Aarhus;I alt;Ugift;2014K4;188896
Aarhus;I alt;Ugift;2015K4;192023
Aarhus;I alt;Ugift;2016K4;196339
Aarhus;I alt;Ugift;2017K4;200256
Aarhus;I alt;Ugift;2018K4;204915
Aarhus;I alt;Ugift;2019K4;208510
Aarhus;I alt;Ugift;2020K4;211863
Aarhus;I alt;Ugift;2021K4;214391
Aarhus;I alt;Gift/separeret;2008K4;99526
Aarhus;I alt;Gift/separeret;2009K4;100233
Aarhus;I alt;Gift/separeret;2010K4;100646
Aarhus;I alt;Gift/separeret;2011K4;100550
Aarhus;I alt;Gift/separeret;2012K4;100745
Aarhus;I alt;Gift/separeret;2013K4;101085
Aarhus;I alt;Gift/separeret;2014K4;100671
Aarhus;I alt;Gift/separeret;2015K4;101000
Aarhus;I alt;Gift/separeret;2016K4;101426
Aarhus;I alt;Gift/separeret;2017K4;102056
Aarhus;I alt;Gift/separeret;2018K4;102462
Aarhus;I alt;Gift/separeret;2019K4;103027
Aarhus;I alt;Gift/separeret;2020K4;102716
Aarhus;I alt;Gift/separeret;2021K4;102173
Aarhus;I alt;Fraskilt;2008K4;22348
Aarhus;I alt;Fraskilt;2009K4;22630
Aarhus;I alt;Fraskilt;2010K4;22891
Aarhus;I alt;Fraskilt;2011K4;23136
Aarhus;I alt;Fraskilt;2012K4;23452
Aarhus;I alt;Fraskilt;2013K4;23794
Aarhus;I alt;Fraskilt;2014K4;24751
Aarhus;I alt;Fraskilt;2015K4;25326
Aarhus;I alt;Fraskilt;2016K4;25852
Aarhus;I alt;Fraskilt;2017K4;26109
Aarhus;I alt;Fraskilt;2018K4;26486
Aarhus;I alt;Fraskilt;2019K4;26647
Aarhus;I alt;Fraskilt;2020K4;27122
Aarhus;I alt;Fraskilt;2021K4;27186
